account_id,company_name,industry,country,employee_count,signup_date,plan,subscription_id,seats,status,mrr,started_on,ended_on,ticket_count,avg_resolution_hours,avg_satisfaction,open_tickets,user_count,invoiced_amount,invoice_count,paid_invoices,seat_utilization,ticket_rate_per_100_users,invoice_collection_rate,is_churned,signup_cohort
221118,Xenon Analytics,Logistics,Japan,3,2024-07-22 17:11:47,Starter,500709,3,active,36.0,2024-07-22 17:11:47,,4.0,16.725,3.75,0.0,2,362.47,10,8,0.6666666666666666,200.0,0.8,False,2024Q3
697547,TriggerPoint,Software,Brazil,75,2025-02-08 13:10:44,Growth,500766,15,active,360.0,2025-02-08 13:10:44,,4.0,77.725,4.5,0.0,9,6155.36,17,15,0.6,44.44444444444444,0.8823529411764706,False,2025Q1
753247,MeshWorks,Manufacturing,United Kingdom,30,2023-11-17 15:15:33,Growth,500582,30,active,720.0,2023-11-17 15:15:33,,4.0,75.275,4.0,0.0,28,8746.6,12,8,0.9333333333333333,14.285714285714285,0.6666666666666666,False,2023Q4
931016,Catalyst CRM,Retail,Germany,58,2023-06-13 07:14:32,Growth,500245,11,active,264.0,2023-06-13 07:14:32,,5.0,76.075,4.0,1.0,10,3976.76,15,15,0.9090909090909091,50.0,1.0,False,2023Q2
254108,Junction Cloud,Financial Services,Canada,11,2024-04-18 18:14:32,Starter,500083,11,active,132.0,2024-04-18 18:14:32,,4.0,19.2,3.6666666666666665,1.0,10,1339.92,10,8,0.9090909090909091,40.0,0.8,False,2024Q2
394508,StackBase,Software,Germany,21,2023-08-28 09:25:01,Starter,500543,3,active,36.0,2023-08-28 09:25:01,,4.0,26.5,4.25,0.0,3,580.8,16,12,1.0,133.33333333333331,0.75,False,2023Q3
919775,HorizonSaaS,Financial Services,Netherlands,56,2024-03-06 14:38:08,Growth,500767,24,active,576.0,2024-03-06 14:38:08,,6.0,26.675,4.0,2.0,14,7082.11,12,10,0.5833333333333334,42.857142857142854,0.8333333333333334,False,2024Q1
363409,LaunchPad HQ,Financial Services,Canada,32,2025-01-08 10:51:45,Growth,500580,28,active,672.0,2025-01-08 10:51:45,,4.0,14.95,5.0,2.0,17,5958.93,9,8,0.6071428571428571,23.52941176470588,0.8888888888888888,False,2025Q1
423101,Keystroke AI,Software,Brazil,310,2024-08-06 15:49:55,Business,500267,105,active,4620.0,2024-08-06 15:49:55,,2.0,40.2,1.0,1.0,74,64758.3,14,13,0.7047619047619048,2.7027027027027026,0.9285714285714286,False,2024Q3
644079,PipelineIO,Manufacturing,Canada,58,2024-04-07 14:36:53,Growth,500768,15,active,360.0,2024-04-07 14:36:53,,5.0,36.825,3.5,1.0,14,1883.03,5,4,0.9333333333333333,35.714285714285715,0.8,False,2024Q2
452461,Inline Systems,Financial Services,Canada,30,2023-11-11 12:51:24,Growth,500450,24,active,576.0,2023-11-11 12:51:24,,7.0,52.63333333333333,3.8333333333333335,1.0,15,5036.77,9,8,0.625,46.666666666666664,0.8888888888888888,False,2023Q4
282947,Lattice HQ,Retail,United Kingdom,5,2023-05-14 10:53:40,Starter,500769,5,active,60.0,2023-05-14 10:53:40,,7.0,40.86666666666667,4.333333333333333,1.0,4,784.8,13,12,0.8,175.0,0.9230769230769231,False,2023Q2
645195,JetMetrics,Education,Australia,11,2024-08-08 14:27:56,Starter,500494,3,churned,36.0,2024-08-08 14:27:56,2024-12-31 14:27:56,5.0,30.820000000000004,4.0,0.0,2,389.15999999999997,11,10,0.6666666666666666,250.0,0.9090909090909091,True,2024Q3
812313,Gradient Labs,Financial Services,Canada,21,2023-08-02 16:25:40,Starter,500770,8,active,96.0,2023-08-02 16:25:40,,6.0,62.7,4.25,2.0,8,1622.91,17,17,1.0,75.0,1.0,False,2023Q3
118279,HubStack,Healthcare,India,34,2025-02-04 12:41:37,Growth,500771,24,active,576.0,2025-02-04 12:41:37,,6.0,39.25,4.25,2.0,19,11464.95,20,18,0.7916666666666666,31.57894736842105,0.9,False,2025Q1
421775,Envoy Platforms,Healthcare,Netherlands,7,2024-06-30 07:39:12,Starter,500464,2,active,24.0,2024-06-30 07:39:12,,5.0,42.06,4.6,0.0,2,336.76,14,12,1.0,250.0,0.8571428571428571,False,2024Q2
341901,TriggerPoint Labs,Healthcare,Japan,22,2025-01-23 09:58:31,Starter,500772,6,active,72.0,2025-01-23 09:58:31,,3.0,32.5,4.0,1.0,5,1073.65,15,11,0.8333333333333334,60.0,0.7333333333333333,False,2025Q1
909740,CloudPeak Systems,Education,Japan,116,2024-09-19 13:01:43,Growth,500098,10,trialing,240.0,2024-09-19 13:01:43,,10.0,43.739999999999995,4.1,0.0,8,2155.43,9,8,0.8,125.0,0.8888888888888888,False,2024Q3
259373,PipelineIO Labs,Software,United States,16,2024-08-27 19:41:43,Starter,500773,6,active,72.0,2024-08-27 19:41:43,,4.0,60.85,4.75,0.0,5,1164.94,16,16,0.8333333333333334,80.0,1.0,False,2024Q3
173985,Lattice HQ Labs,Retail,Germany,6,2023-11-05 15:16:50,Starter,500521,4,active,48.0,2023-11-05 15:16:50,,9.0,33.65,4.5,1.0,3,441.2,9,7,0.75,300.0,0.7777777777777778,False,2023Q4
649882,GridLogic,Software,Australia,7,2024-12-08 14:07:40,Starter,500425,7,trialing,84.0,2024-12-08 14:07:40,,4.0,49.725,4.5,0.0,6,1396.95,17,17,0.8571428571428571,66.66666666666666,1.0,False,2024Q4
552380,Junction Cloud Labs,Software,India,139,2024-04-18 07:34:21,Business,500215,37,active,1628.0,2024-04-18 07:34:21,,5.0,47.0,3.8,0.0,32,21410.95,13,11,0.8648648648648649,15.625,0.8461538461538461,False,2024Q2
527428,TriggerPoint Systems,Financial Services,Australia,304,2025-08-21 15:08:18,Business,500656,131,active,5764.0,2025-08-21 15:08:18,,3.0,13.299999999999999,4.333333333333333,0.0,121,75352.34,13,12,0.9236641221374046,2.479338842975207,0.9230769230769231,False,2025Q3
661655,InfraPoint,Retail,Netherlands,5,2023-03-27 11:20:52,Starter,500183,5,past_due,60.0,2023-03-27 11:20:52,,5.0,39.239999999999995,4.2,0.0,4,722.42,12,11,0.8,125.0,0.9166666666666666,False,2023Q1
